deg_level,deg_subject,cfa,exp,size,ret_3y,pct_pron
1,1,0,32,1.35373E+11,12.691394,22.70%
1,1,1,27,58322899317,14.183781,21.67%
1,1,0,18,56123816251,12.361444,23.68%
1,1,0,29,48279303226,15.779205,24.14%
1,1,0,22,34340944470,10.02196,17.39%
1,1,1,35,32765315567,11.162982,21.90%
1,1,0,20,28028188590,14.360297,24.83%
1,1,0,22,27205448704,17.099425,20.08%
0,0,1,20,25502071058,8.058916,16.51%
1,1,1,14,18499933886,16.194555,23.08%
1,1,0,26,18495263114,10.685376,19.84%
1,1,1,16,18370636407,,19.85%
1,1,1,26,15581412616,14.411387,30.30%
1,1,1,24,14770484226,9.959076,28.89%
1,1,1,38,14736393873,10.106556,14.83%
1,1,0,29,14017075372,9.745827,36.00%
1,1,0,23,13532281694,10.662634,22.70%
1,1,0,29,13041647630,16.263294,24.38%
1,1,1,25,11567549690,9.37267,18.18%
1,1,1,19,11187839453,11.660118,25.00%
1,1,0,18,10162616971,12.218904,24.66%
0,0,1,32,9566881519,13.885746,29.07%
1,1,1,25,9325542503,11.145244,20.56%
1,1,1,25,8842881902,12.346604,17.14%
1,1,1,16,8723968153,9.581446,27.68%
2,1,1,19,8060454753,11.225149,32.79%
1,1,1,35,7743721104,11.751584,21.90%
1,1,1,13,7330023417,9.047825,25.48%
1,1,1,20,7285454976,12.141973,29.23%
0,1,0,28,7235284717,10.695578,15.26%
0,0,0,12,7160278834,8.472093,20.00%
1,1,0,23,6950712201,10.40794,22.58%
1,1,0,32,6864092627,12.067482,23.67%
1,1,0,20,6374291770,15.050303,26.01%
1,1,1,23,5896213605,10.842712,24.78%
1,1,0,20,5426549781,8.177634,23.47%
1,1,0,21,5317726592,7.989097,31.25%
1,1,1,10,5218204730,13.720623,20.69%
1,1,1,21,5077817354,12.042154,31.65%
1,1,0,32,5038562700,,25.00%
0,1,1,18,4999224158,15.391406,29.01%
1,1,1,17,4828030359,10.048838,26.32%
0,0,1,20,4777958075,7.932723,17.43%
0,0,0,34,4749066293,12.845226,24.66%
1,0,0,15,4185446021,5.201067,18.18%
1,1,0,26,4090594665,8.051456,23.58%
1,1,1,27,3986340982,14.277025,21.67%
0,1,1,18,3964909426,11.952212,16.67%
1,1,1,26,3885292169,12.988068,24.53%
1,1,1,41,3822136030,7.644862,27.18%
0,0,0,16,3647603214,15.747325,24.35%
1,1,0,22,3628448662,12.965078,29.51%
0,0,1,23,3561617871,8.206373,25.35%
1,1,1,26,3481909847,10.364223,22.54%
1,0,1,19,3372610002,5.960529,26.76%
1,1,0,23,3363372714,11.139496,24.87%
1,1,1,25,3333611107,9.814415,18.60%
1,1,1,26,3292807371,12.881939,22.03%
1,1,1,27,3193568824,14.053515,21.31%
1,1,0,23,3037989584,11.120373,24.48%
1,1,1,22,2982723262,9.440967,31.58%
0,1,1,38,2918721850,10.785335,17.39%
1,1,1,17,2881008639,7.080513,29.70%
1,1,0,24,2807922967,4.21651,20.59%
1,1,1,11,2738304606,5.443647,28.00%
1,1,0,14,2709174015,4.450094,30.00%
1,1,0,24,2686140599,7.92431,24.44%
0,0,0,12,2389829823,7.459171,19.61%
1,1,1,26,2378568339,13.364403,23.21%
1,1,0,30,2366819452,14.586588,39.47%
1,1,1,23,2365197887,8.754876,28.36%
0,1,0,17,2278546655,12.090441,24.65%
0,0,0,30,2192740448,8.852385,21.84%
0,0,1,32,2181481310,8.018218,24.64%
1,1,1,23,2173281824,11.781559,24.08%
2,0,0,10,2134009845,12.103832,30.99%
1,1,1,23,2080502899,20.27853,35.29%
1,1,1,24,2069004871,13.868943,27.59%
1,1,1,14,2067608115,10.443723,26.65%
1,1,0,18,2016509796,12.339954,18.56%
1,1,0,17,1987548004,9.994717,23.15%
1,1,0,27,1987310325,11.955994,17.50%
1,0,1,19,1950955116,6.980579,29.49%
1,1,1,22,1902140132,11.953077,18.64%
1,1,1,13,1862240443,9.516001,25.45%
1,1,0,26,1843593448,4.46729,26.09%
1,1,1,24,1832252711,9.601454,31.52%
1,1,0,20,1826498709,,27.75%
1,1,0,25,1816015698,12.219338,10.45%
1,0,0,15,1759898779,5.088199,17.95%
0,1,0,23,1730414717,11.364238,32.11%
1,1,1,18,1726171933,,26.50%
1,1,0,16,1722667065,6.831381,29.53%
0,0,0,36,1670759080,8.248476,20.00%
2,1,0,10,1641895369,12.00004,24.64%
1,1,1,31,1624226881,9.574717,21.93%
